"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @persib: TODAY IS #PERSIBDAY! 🐯🔵

RAIH 3 POIN!

#PERSIB",FALSE,0,NA,2021-11-24 01:21:32,FALSE,NA,"1463316822564892674",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jancukkauuu",48,TRUE,FALSE,NA,NA
"RT @persib: #PERSIBDAY Pekan ke-13!

Bounce back to the winning track! 🔥🔵

#PERSIB https://t.co/mUNJhTXff6",FALSE,0,NA,2021-11-24 01:21:05,FALSE,NA,"1463316708744073220",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","didinrosadi7",51,TRUE,FALSE,NA,NA
"RT @persib: #PERSIBDAY Pekan ke-13!

Bounce back to the winning track! 🔥🔵

#PERSIB https://t.co/mUNJhTXff6",FALSE,0,NA,2021-11-24 01:20:01,FALSE,NA,"1463316442531516420",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pacarkuipers",51,TRUE,FALSE,NA,NA
"RT @persib: #PERSIBDAY Pekan ke-13!

Bounce back to the winning track! 🔥🔵

#PERSIB https://t.co/mUNJhTXff6",FALSE,0,NA,2021-11-24 01:17:24,FALSE,NA,"1463315783774212100",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KurniawanRicho",51,TRUE,FALSE,NA,NA
"RT @persib: #PERSIBDAY Pekan ke-13!

Bounce back to the winning track! 🔥🔵

#PERSIB https://t.co/mUNJhTXff6",FALSE,0,NA,2021-11-24 01:11:46,FALSE,NA,"1463314366128803844",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MarshaShania14",51,TRUE,FALSE,NA,NA
"RT @persib: #PERSIBDAY Pekan ke-13!

Bounce back to the winning track! 🔥🔵

#PERSIB https://t.co/mUNJhTXff6",FALSE,0,NA,2021-11-24 01:09:19,FALSE,NA,"1463313748240732164",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Arojas15260108",51,TRUE,FALSE,NA,NA
"RT @persib: #PERSIBDAY Pekan ke-13!

Bounce back to the winning track! 🔥🔵

#PERSIB https://t.co/mUNJhTXff6",FALSE,0,NA,2021-11-24 01:05:43,FALSE,NA,"1463312843009183748",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","taufanfaturachm",51,TRUE,FALSE,NA,NA
"RT @persib: #PERSIBDAY Pekan ke-13!

Bounce back to the winning track! 🔥🔵

#PERSIB https://t.co/mUNJhTXff6",FALSE,0,NA,2021-11-24 01:05:27,FALSE,NA,"1463312774965067781",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jiwanusantara87",51,TRUE,FALSE,NA,NA
"#PERSIBDAY Pekan ke-13!

Bounce back to the winning track! 🔥🔵

#PERSIB https://t.co/mUNJhTXff6",FALSE,403,NA,2021-11-24 01:04:17,FALSE,NA,"1463312482500370433",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","persib",51,FALSE,FALSE,NA,NA
"Don't expect too much, but we believe in you ! Menang yahh @persib 

#PERSIBDAY #PERSIBDAY #PERSIBDAY #PERSIBDAY… https://t.co/juWEebVQEE",FALSE,9,NA,2021-11-24 00:59:57,TRUE,NA,"1463311393591988224",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","besidecrew",3,FALSE,FALSE,NA,NA
"RT @persib: TODAY IS #PERSIBDAY! 🐯🔵

RAIH 3 POIN!

#PERSIB",FALSE,0,NA,2021-11-24 00:35:22,FALSE,NA,"1463305203864662021",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RezaMubarok_",48,TRUE,FALSE,NA,NA
"RT @persib: TODAY IS #PERSIBDAY! 🐯🔵

RAIH 3 POIN!

#PERSIB",FALSE,0,NA,2021-11-24 00:27:23,FALSE,NA,"1463303197355753474",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","milhamhilmi",48,TRUE,FALSE,NA,NA
"RT @persib: TODAY IS #PERSIBDAY! 🐯🔵

RAIH 3 POIN!

#PERSIB",FALSE,0,NA,2021-11-24 00:10:04,FALSE,NA,"1463298836869255171",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","abdul_rohman54",48,TRUE,FALSE,NA,NA
"RT @persib: TODAY IS #PERSIBDAY! 🐯🔵

RAIH 3 POIN!

#PERSIB",FALSE,0,NA,2021-11-24 00:02:47,FALSE,NA,"1463297005875171330",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bobotoh_kngn",48,TRUE,FALSE,NA,NA
"RT @persib: TODAY IS #PERSIBDAY! 🐯🔵

RAIH 3 POIN!

#PERSIB",FALSE,0,NA,2021-11-23 23:55:27,FALSE,NA,"1463295160159141893",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","odeddi33",48,TRUE,FALSE,NA,NA
"RT @persib: TODAY IS #PERSIBDAY! 🐯🔵

RAIH 3 POIN!

#PERSIB",FALSE,0,NA,2021-11-23 23:47:57,FALSE,NA,"1463293271220785157",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IcatRichard_",48,TRUE,FALSE,NA,NA
"RT @persib: TODAY IS #PERSIBDAY! 🐯🔵

RAIH 3 POIN!

#PERSIB",FALSE,0,NA,2021-11-23 23:34:12,FALSE,NA,"1463289811809169409",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Arojas15260108",48,TRUE,FALSE,NA,NA
"RT @persib: TODAY IS #PERSIBDAY! 🐯🔵

RAIH 3 POIN!

#PERSIB",FALSE,0,NA,2021-11-23 23:25:36,FALSE,NA,"1463287649645457408",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bujurbadak",48,TRUE,FALSE,NA,NA
"RT @persib: TODAY IS #PERSIBDAY! 🐯🔵

RAIH 3 POIN!

#PERSIB",FALSE,0,NA,2021-11-23 23:21:45,FALSE,NA,"1463286680215965701",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ripal05601946",48,TRUE,FALSE,NA,NA
"RT @persib: TODAY IS #PERSIBDAY! 🐯🔵

RAIH 3 POIN!

#PERSIB",FALSE,0,NA,2021-11-23 23:09:01,FALSE,NA,"1463283472630312964",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ninaiy33",48,TRUE,FALSE,NA,NA
"RT @persib: TODAY IS #PERSIBDAY! 🐯🔵

RAIH 3 POIN!

#PERSIB",FALSE,0,NA,2021-11-23 22:19:04,FALSE,NA,"1463270903706357761",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KurniawanRicho",48,TRUE,FALSE,NA,NA
"RT @persib: TODAY IS #PERSIBDAY! 🐯🔵

RAIH 3 POIN!

#PERSIB",FALSE,0,NA,2021-11-23 21:57:48,FALSE,NA,"1463265552848154630",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sheashellaaaa",48,TRUE,FALSE,NA,NA
"RT @persib: TODAY IS #PERSIBDAY! 🐯🔵

RAIH 3 POIN!

#PERSIB",FALSE,0,NA,2021-11-23 21:48:10,FALSE,NA,"1463263126413926400",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AlistaKarem",48,TRUE,FALSE,NA,NA
"RT @persib: TODAY IS #PERSIBDAY! 🐯🔵

RAIH 3 POIN!

#PERSIB",FALSE,0,NA,2021-11-23 21:13:09,FALSE,NA,"1463254314672005122",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","teguhmf303",48,TRUE,FALSE,NA,NA
"RT @persib: TODAY IS #PERSIBDAY! 🐯🔵

RAIH 3 POIN!

#PERSIB",FALSE,0,NA,2021-11-23 20:50:21,FALSE,NA,"1463248576318873602",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rianriyanto095",48,TRUE,FALSE,NA,NA
"RT @persib: TODAY IS #PERSIBDAY! 🐯🔵

RAIH 3 POIN!

#PERSIB",FALSE,0,NA,2021-11-23 20:05:08,FALSE,NA,"1463237200724643846",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jiwanusantara87",48,TRUE,FALSE,NA,NA
"RT @persib: TODAY IS #PERSIBDAY! 🐯🔵

RAIH 3 POIN!

#PERSIB",FALSE,0,NA,2021-11-23 17:21:44,FALSE,NA,"1463196077260107778",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","akhi_syah",48,TRUE,FALSE,NA,NA
"RT @persib: TODAY IS #PERSIBDAY! 🐯🔵

RAIH 3 POIN!

#PERSIB",FALSE,0,NA,2021-11-23 17:21:43,FALSE,NA,"1463196073774567427",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SaepulNanang",48,TRUE,FALSE,NA,NA
"RT @persib: TODAY IS #PERSIBDAY! 🐯🔵

RAIH 3 POIN!

#PERSIB",FALSE,0,NA,2021-11-23 17:21:33,FALSE,NA,"1463196030770429952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","agoestian_deny",48,TRUE,FALSE,NA,NA
"RT @persib: TODAY IS #PERSIBDAY! 🐯🔵

RAIH 3 POIN!

#PERSIB",FALSE,0,NA,2021-11-23 17:12:22,FALSE,NA,"1463193721818652672",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AdeZuhri6",48,TRUE,FALSE,NA,NA
"RT @persib: TODAY IS #PERSIBDAY! 🐯🔵

RAIH 3 POIN!

#PERSIB",FALSE,0,NA,2021-11-23 17:09:21,FALSE,NA,"1463192960837697537",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BBTH_33",48,TRUE,FALSE,NA,NA
"RT @persib: TODAY IS #PERSIBDAY! 🐯🔵

RAIH 3 POIN!

#PERSIB",FALSE,0,NA,2021-11-23 17:08:24,FALSE,NA,"1463192721414242305",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","indra_tea23",48,TRUE,FALSE,NA,NA
"RT @persib: TODAY IS #PERSIBDAY! 🐯🔵

RAIH 3 POIN!

#PERSIB",FALSE,0,NA,2021-11-23 17:07:40,FALSE,NA,"1463192539817676801",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JYXYKJ0m0WalU8I",48,TRUE,FALSE,NA,NA
"RT @persib: TODAY IS #PERSIBDAY! 🐯🔵

RAIH 3 POIN!

#PERSIB",FALSE,0,NA,2021-11-23 17:06:40,FALSE,NA,"1463192287203102723",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BossIdan97",48,TRUE,FALSE,NA,NA
"RT @persib: TODAY IS #PERSIBDAY! 🐯🔵

RAIH 3 POIN!

#PERSIB",FALSE,0,NA,2021-11-23 17:04:35,FALSE,NA,"1463191762302746626",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mulyana35570077",48,TRUE,FALSE,NA,NA
"RT @persib: TODAY IS #PERSIBDAY! 🐯🔵

RAIH 3 POIN!

#PERSIB",FALSE,0,NA,2021-11-23 17:03:08,FALSE,NA,"1463191397096300546",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NagasLegii20_",48,TRUE,FALSE,NA,NA
"RT @persib: TODAY IS #PERSIBDAY! 🐯🔵

RAIH 3 POIN!

#PERSIB",FALSE,0,NA,2021-11-23 17:02:44,FALSE,NA,"1463191295438966786",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","anandafaryann",48,TRUE,FALSE,NA,NA
"TODAY IS #PERSIBDAY! 🐯🔵

RAIH 3 POIN!

#PERSIB",FALSE,400,NA,2021-11-23 17:01:00,FALSE,NA,"1463190859537530882",NA,"<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter for Advertisers.</a>","persib",48,FALSE,FALSE,NA,NA
"RT @liv_fit: Higher Than Highest
Beyond Words&amp; #PHOTOS
#God Is But Visible #Only
2 #Pure #Heart
#quotes of #DrDevangHDattani
Dr #Devang H #…",FALSE,0,NA,2021-11-22 08:49:53,FALSE,NA,"1462704879768535044",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","jpayals",8,TRUE,FALSE,NA,NA
"RT @persib: TODAY IS #PERSIBDAY! 🔵

All eyes on us...

LET'S WIN THIS!

#PERSIB https://t.co/jwUKZ0hxLS",FALSE,0,NA,2021-11-22 08:10:52,FALSE,NA,"1462695061422895109",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","opicxyz",389,TRUE,FALSE,NA,NA
"RT @liv_fit: Higher Than Highest
Beyond Words&amp; #PHOTOS
#God Is But Visible #Only
2 #Pure #Heart
#quotes of #DrDevangHDattani
Dr #Devang H #…",FALSE,0,NA,2021-11-21 17:14:53,FALSE,NA,"1462469579104477192",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ScottHughes007",8,TRUE,FALSE,NA,NA
